9,-0.40,0.93,0.24,3.95,32.6,0.182
C,-0.40,0.93,0.24,3.95,32.9,0.182
0,-0.40,0.93,0.24,3.95,32.9,0.182
1,-0.40,0.94,0.23,3.95,32.6,0.182
2,-0.40,0.93,0.23,3.95,32.6,0.182
3,-0.40,0.93,0.23,3.95,32.6,0.182
4,-0.39,0.94,0.24,3.95,32.6,0.182
5,-0.39,0.93,0.23,3.95,32.6,0.182
6,-0.39,0.94,0.23,3.95,32.9,0.182
7,-0.40,0.93,0.23,3.95,32.6,0.182
8,-0.40,0.93,0.24,3.95,32.6,0.182
9,-0.39,0.93,0.24,3.95,32.6,0.182
C,-0.40,0.93,0.24,3.95,32.6,0.182
0,-0.39,0.95,0.24,3.95,32.6,0.182
1,-0.41,0.97,0.24,3.95,32.6,0.182
2,-0.40,1.00,0.17,3.95,32.6,0.182
3,-0.44,0.88,0.06,3.95,32.9,0.182
4,-0.27,1.06,0.25,3.95,32.6,0.182
5,-0.01,0.97,0.18,3.95,32.9,0.182
6,-0.12,0.85,0.18,3.95,32.6,0.182
7,-0.58,0.99,0.11,3.95,32.6,0.182
8,-0.72,1.04,0.02,3.95,32.6,0.182
9,-0.65,0.96,-0.05,3.95,32.6,0.182
C,-0.59,0.91,-0.06,3.95,32.9,0.182
0,-0.33,1.09,0.08,3.95,32.6,0.182
1,-0.44,1.16,0.16,3.95,32.6,0.182
2,-0.42,0.56,0.18,3.95,32.6,0.182
3,-0.18,0.41,0.10,3.95,32.6,0.182
4,-0.12,1.06,-0.01,3.95,32.6,0.182
5,0.00,1.18,0.08,3.95,32.6,0.182
6,0.07,0.96,-0.04,3.95,32.6,0.182
7,-0.16,1.37,-0.02,3.95,32.6,0.182
8,-0.19,0.83,0.15,3.95,32.6,0.182
9,-0.23,0.77,-0.03,3.95,32.6,0.182
C,-0.13,0.75,-0.01,3.95,32.6,0.182
0,-0.31,1.16,-0.16,3.95,32.9,0.182
1,-0.52,0.77,-0.02,3.95,32.6,0.182
2,-0.70,0.67,0.07,3.95,32.6,0.182
3,-0.87,0.55,0.05,3.95,32.6,0.182
4,-0.77,0.37,0.03,3.95,32.6,0.182
5,-1.10,0.21,-0.19,3.95,32.6,0.185
6,-1.11,0.19,-0.12,3.95,32.6,0.182
7,-1.05,0.30,-0.20,3.95,32.6,0.182
8,-0.94,0.30,-0.17,3.95,32.6,0.182
9,-0.94,0.21,-0.22,3.95,32.6,0.182
C,-0.99,0.20,-0.18,3.95,32.6,0.182
0,-0.93,0.25,-0.23,3.95,32.6,0.185
1,-0.95,0.17,-0.18,3.95,32.6,0.182
2,-0.95,0.16,-0.18,3.95,32.6,0.182
3,-0.94,0.21,-0.12,3.95,32.6,0.182
4,-0.91,0.17,-0.15,3.95,32.9,0.182
5,-1.00,0.20,-0.13,3.95,32.6,0.182
6,-0.95,0.22,-0.13,3.95,32.6,0.182
7,-0.97,0.18,-0.12,3.95,32.6,0.182
8,-0.97,0.18,-0.14,3.95,32.6,0.182
9,-0.96,0.20,-0.11,3.95,32.6,0.182
C,-0.97,0.19,-0.12,3.95,32.6,0.182
0,-0.97,0.20,-0.12,3.95,32.6,0.185
1,-0.96,0.19,-0.11,3.95,32.6,0.182
2,-0.97,0.18,-0.11,3.95,32.6,0.182
3,-0.97,0.18,-0.13,3.95,32.6,0.182
4,-0.97,0.17,-0.13,3.95,32.6,0.185
5,-0.97,0.17,-0.12,3.95,32.6,0.185
6,-0.97,0.17,-0.14,3.95,32.6,0.185
7,-0.97,0.18,-0.12,3.95,32.6,0.182
8,-0.97,0.16,-0.13,3.95,32.6,0.182
9,-0.97,0.16,-0.12,3.95,32.6,0.185
C,-0.97,0.16,-0.12,3.95,32.6,0.182
0,-0.97,0.16,-0.13,3.95,32.6,0.185
1,-0.97,0.16,-0.14,3.95,32.6,0.185
2,-0.96,0.17,-0.13,3.95,32.6,0.182
3,-0.97,0.16,-0.13,3.95,32.6,0.182
4,-0.98,0.16,-0.13,3.95,32.6,0.182
5,-0.97,0.15,-0.11,3.95,32.6,0.185
6,-0.96,0.15,-0.12,3.95,32.9,0.185
7,-0.97,0.16,-0.13,3.95,32.9,0.182
8,-0.97,0.17,-0.12,3.95,32.6,0.185
9,-0.99,0.14,-0.14,3.95,32.9,0.185
C,-0.98,0.14,-0.12,3.95,32.6,0.185
0,-0.97,0.16,-0.13,3.95,32.9,0.188
1,-0.97,0.16,-0.12,3.95,32.6,0.184
2,-0.97,0.16,-0.14,3.95,32.9,0.188
3,-0.98,0.15,-0.13,3.95,32.6,0.185
4,-0.98,0.14,-0.13,3.95,32.6,0.182
5,-0.97,0.15,-0.12,3.95,32.6,0.185
6,-0.97,0.16,-0.12,3.95,32.6,0.182
7,-0.97,0.16,-0.13,3.95,32.6,0.185
8,-0.98,0.15,-0.12,3.95,32.6,0.185
9,-0.97,0.14,-0.13,3.95,32.6,0.188
C,-0.97,0.16,-0.13,3.95,32.9,0.188
0,-0.97,0.15,-0.13,3.95,32.6,0.185
1,-0.97,0.15,-0.12,3.95,32.6,0.185
2,-1.00,0.17,-0.10,3.95,32.6,0.185
3,-1.02,0.19,-0.08,3.95,32.6,0.185
4,-1.03,0.15,-0.07,3.95,32.6,0.187
5,-1.01,0.16,-0.03,3.95,32.6,0.185
6,-1.00,0.22,0.02,3.95,32.9,0.188
7,-0.95,0.30,0.07,3.95,32.9,0.185
8,-0.95,0.42,0.11,3.95,32.6,0.182
9,-0.88,0.56,0.05,3.95,32.6,0.188
C,-0.82,0.50,0.00,3.95,32.6,0.185
0,-0.67,0.68,0.16,3.95,32.6,0.185
1,-0.61,0.70,-0.11,3.95,32.6,0.185
2,-0.45,0.79,-0.20,3.95,32.6,0.185
3,-0.39,0.85,-0.27,3.95,32.6,0.185
4,-0.35,0.90,-0.13,3.95,32.6,0.188
5,-0.43,0.95,-0.05,3.95,32.6,0.185
6,-0.46,0.89,-0.06,3.95,32.6,0.185
7,-0.41,0.87,-0.05,3.95,32.9,0.185
8,-0.37,0.96,0.02,3.95,32.6,0.184
9,-0.33,0.92,-0.07,3.95,32.6,0.185
C,-0.37,0.93,-0.04,3.95,32.6,0.185
0,-0.41,0.91,-0.00,3.95,32.6,0.187
1,-0.42,0.92,-0.01,3.95,32.6,0.185
2,-0.39,0.93,-0.01,3.95,32.6,0.185
3,-0.38,0.96,-0.01,3.95,32.6,0.185
4,-0.38,0.92,-0.02,3.95,32.6,0.188
5,-0.39,0.92,-0.01,3.95,32.9,0.185
6,-0.38,0.94,-0.02,3.95,32.6,0.185
7,-0.38,0.93,-0.02,3.95,32.6,0.185
8,-0.39,0.93,-0.01,3.95,32.6,0.185
9,-0.37,0.93,-0.01,3.95,32.6,0.185
C,-0.39,0.92,-0.01,3.95,32.6,0.185
0,-0.38,0.94,-0.03,3.95,32.6,0.185
1,-0.38,0.95,-0.01,3.95,32.6,0.185
2,-0.38,0.93,-0.01,3.95,32.6,0.185
3,-0.37,0.93,-0.01,3.95,32.6,0.185
4,-0.39,0.93,-0.00,3.95,32.6,0.185
5,-0.39,0.95,0.00,3.95,32.6,0.185
6,-0.38,0.93,0.00,3.95,32.6,0.185
7,-0.39,0.91,-0.00,3.95,32.6,0.185
8,-0.39,0.95,0.01,3.95,32.6,0.185
9,-0.37,0.93,-0.00,3.95,32.6,0.185
C,-0.39,0.93,0.00,3.95,32.9,0.187
0,-0.38,0.94,-0.00,3.95,32.6,0.188
1,-0.38,0.93,0.00,3.95,32.6,0.185
2,-0.38,0.93,-0.00,3.95,32.6,0.185
3,-0.38,0.94,0.00,3.95,32.6,0.188
4,-0.38,0.93,0.00,3.95,32.6,0.188
5,-0.38,0.93,-0.00,3.95,32.6,0.185
6,-0.38,0.95,-0.00,3.95,32.6,0.185
7,-0.36,0.95,-0.02,3.95,32.9,0.185
8,-0.35,0.94,-0.00,3.95,32.6,0.188
9,-0.33,0.93,-0.03,3.95,32.6,0.185
C,-0.33,0.94,-0.05,3.95,32.6,0.185
0,-0.31,0.97,-0.06,3.95,32.6,0.185
1,-0.31,0.95,-0.07,3.95,32.6,0.188
2,-0.31,0.95,-0.07,3.95,32.6,0.188
3,-0.32,0.95,-0.10,3.94,32.6,0.185
4,-0.33,0.96,-0.05,3.95,32.6,0.188
5,-0.32,0.95,-0.05,3.95,32.6,0.188
6,-0.22,1.09,0.43,3.95,32.6,0.185
7,-0.43,1.28,0.55,3.95,32.6,0.185
8,-0.50,1.00,0.37,3.94,32.6,0.185
9,-0.25,0.69,0.02,3.95,32.6,0.188
C,-0.30,0.89,0.20,3.95,32.6,0.185
0,0.12,0.98,0.57,3.95,32.6,0.185
1,0.39,0.97,0.81,3.95,32.6,0.188
2,0.08,1.53,0.48,3.95,32.6,0.185
3,-0.40,1.49,1.05,3.95,32.6,0.188
4,-0.35,0.67,0.94,3.95,32.6,0.188
5,0.09,0.21,0.84,3.95,32.6,0.185
6,0.20,0.25,0.65,3.95,32.6,0.185
7,0.49,0.58,0.40,3.95,32.6,0.185
8,0.32,1.02,-0.09,3.95,32.6,0.185
9,0.26,0.64,-0.50,3.95,32.6,0.188
C,0.08,0.66,-0.32,3.95,32.6,0.188
0,-0.01,0.62,-0.06,3.95,32.6,0.188
1,-0.15,0.67,0.03,3.95,32.9,0.188
2,-0.82,1.24,0.40,3.95,32.6,0.185
3,-0.89,0.82,-0.07,3.95,32.6,0.185
4,-0.68,0.29,-0.11,3.95,32.6,0.185
5,-0.79,0.37,-0.32,3.95,32.6,0.188
6,-0.90,0.50,-0.37,3.95,32.6,0.185
7,-1.15,0.02,-0.35,3.95,32.6,0.188
8,-0.83,0.00,-0.23,3.95,32.6,0.185
9,-0.75,0.31,-0.42,3.95,32.6,0.188
C,-0.94,0.11,-0.41,3.95,32.6,0.185
0,-0.82,0.15,-0.39,3.95,32.9,0.188
1,-0.84,0.09,-0.42,3.95,32.6,0.188
2,-0.90,0.05,-0.45,3.95,32.6,0.188
3,-0.90,0.07,-0.49,3.94,32.6,0.185
4,-0.80,0.14,-0.50,3.95,32.6,0.185
5,-0.70,0.17,-0.49,3.95,32.6,0.188
6,-0.64,0.23,-0.54,3.95,32.6,0.188
7,-0.62,0.23,-0.64,3.95,32.6,0.188
8,-0.60,0.20,-0.69,3.95,32.6,0.187
9,-0.53,0.21,-0.76,3.95,32.6,0.185
C,-0.41,0.43,-0.81,3.95,32.6,0.185
0,-0.39,0.27,-0.66,3.95,32.6,0.188
1,-0.35,0.48,-0.72,3.95,32.6,0.188
2,-0.28,0.24,-0.77,3.95,32.6,0.188
3,-0.11,0.04,-0.82,3.95,32.6,0.188
4,-0.12,0.09,-0.86,3.95,32.6,0.188
5,-0.03,0.00,-0.83,3.95,32.6,0.185
6,-0.15,0.27,-0.80,3.95,32.6,0.188
7,-0.08,0.39,-0.78,3.95,32.6,0.190
8,-0.05,0.38,-0.75,3.95,32.6,0.211
9,-0.10,0.38,-0.78,3.95,32.6,0.288
C,-0.05,0.36,-0.78,3.95,32.6,0.329
0,-0.10,0.35,-0.79,3.94,32.6,0.403
1,-0.13,0.35,-0.79,3.95,32.6,0.402
2,-0.08,0.30,-0.80,3.95,32.6,0.379
3,-0.15,0.34,-0.80,3.95,32.9,0.362
4,-0.12,0.32,-0.84,3.95,32.6,0.347
5,-0.13,0.32,-0.82,3.95,32.6,0.337
6,-0.09,0.26,-0.81,3.95,32.6,0.332
7,-0.12,0.29,-0.84,3.95,32.6,0.320
8,-0.10,0.33,-0.81,3.95,32.6,0.314
9,-0.15,0.31,-0.84,3.95,32.6,0.309
C,-0.11,0.28,-0.81,3.95,32.6,0.309
0,-0.11,0.30,-0.82,3.95,32.6,0.305
1,-0.11,0.30,-0.83,3.95,32.6,0.303
2,-0.22,0.30,-0.77,3.95,32.6,0.297
3,-0.12,0.37,-0.83,3.95,32.6,0.289
4,0.09,0.30,-0.81,3.95,32.6,0.286
5,-0.10,0.34,-0.80,3.95,32.6,0.280
6,-0.05,0.35,-0.81,3.95,32.6,0.280
7,-0.06,0.36,-0.81,3.95,32.6,0.280
8,-0.09,0.36,-0.80,3.95,32.9,0.280
9,-0.08,0.35,-0.80,3.95,32.6,0.274
C,-0.06,0.33,-0.81,3.95,32.6,0.277
0,-0.07,0.36,-0.81,3.95,32.9,0.277
1,-0.08,0.35,-0.79,3.95,32.6,0.274
2,-0.09,0.35,-0.81,3.95,32.6,0.274
3,-0.08,0.34,-0.80,3.95,32.6,0.272
4,-0.09,0.36,-0.82,3.95,32.6,0.272
5,-0.09,0.33,-0.81,3.95,32.6,0.269
6,-0.08,0.37,-0.81,3.95,32.6,0.266
7,-0.09,0.34,-0.81,3.95,32.6,0.266
8,-0.08,0.34,-0.79,3.95,32.6,0.263
9,-0.09,0.39,-0.80,3.95,32.6,0.263
C,-0.12,0.36,-0.81,3.95,32.6,0.260
0,-0.05,0.38,-0.82,3.95,32.6,0.257
1,-0.09,0.34,-0.81,3.95,32.6,0.257
2,0.01,0.33,-0.74,3.95,32.6,0.254
3,-0.08,0.28,-0.79,3.95,32.9,0.252
4,-0.11,0.30,-0.80,3.95,32.6,0.249
5,-0.07,0.33,-0.81,3.95,32.6,0.249
6,-0.10,0.28,-0.81,3.95,32.6,0.246
7,-0.11,0.29,-0.82,3.95,32.6,0.246
8,-0.10,0.30,-0.83,3.95,32.6,0.246
9,-0.11,0.30,-0.82,3.95,32.6,0.241
C,-0.11,0.30,-0.82,3.95,32.6,0.241
0,-0.12,0.30,-0.83,3.95,32.6,0.241
1,-0.11,0.30,-0.80,3.95,32.6,0.241
2,-0.11,0.29,-0.82,3.95,32.6,0.236
3,-0.11,0.30,-0.82,3.95,32.6,0.236
4,-0.11,0.30,-0.81,3.95,32.6,0.236
5,-0.12,0.30,-0.82,3.95,32.6,0.236
6,-0.11,0.30,-0.82,3.95,32.6,0.236
7,-0.12,0.29,-0.81,3.95,32.6,0.233
8,-0.11,0.30,-0.82,3.95,32.6,0.230
9,-0.12,0.30,-0.82,3.95,32.6,0.233
C,-0.11,0.30,-0.82,3.95,32.6,0.230
0,-0.11,0.30,-0.82,3.95,32.6,0.233
1,-0.11,0.30,-0.81,3.95,32.6,0.230
2,-0.11,0.30,-0.82,3.95,32.6,0.230
3,-0.11,0.30,-0.82,3.95,32.6,0.230
4,-0.10,0.30,-0.82,3.95,32.6,0.230
5,-0.09,0.31,-0.84,3.95,32.6,0.230
6,-0.07,0.34,-0.90,3.95,32.6,0.230
7,-0.09,0.36,-0.89,3.95,32.6,0.227
8,-0.04,0.32,-0.83,3.95,32.6,0.230
9,0.00,0.34,-0.73,3.94,32.6,0.239
C,-0.01,0.38,-0.75,3.95,32.6,0.305
0,0.05,0.41,-0.77,3.95,32.6,0.512
1,0.06,0.37,-0.78,3.94,32.6,0.850
2,0.06,0.38,-0.80,3.95,32.6,0.781
3,0.08,0.38,-0.78,3.95,32.6,0.657
4,0.06,0.40,-0.81,3.95,32.6,0.474
5,0.04,0.37,-0.77,3.95,32.6,0.390
6,0.04,0.35,-0.82,3.95,32.6,0.356
7,0.02,0.39,-0.79,3.95,32.6,0.326
8,0.10,0.46,-0.74,3.95,32.6,0.297
9,0.09,0.43,-0.79,3.95,32.6,0.272
C,0.02,0.37,-0.78,3.95,32.6,0.252
0,0.01,0.39,-0.76,3.95,32.6,0.241
1,0.04,0.35,-0.78,3.95,32.6,0.230
2,-0.15,0.42,-0.78,3.95,32.6,0.225
3,0.02,0.43,-0.73,3.95,32.6,0.222
4,-0.01,0.43,-0.77,3.95,32.6,0.222
5,0.01,0.47,-0.77,3.95,32.6,0.277
6,-0.01,0.48,-0.77,3.95,32.6,0.398
7,-0.03,0.50,-0.76,3.95,32.6,0.479
8,0.02,0.48,-0.71,3.95,32.6,0.584
9,-0.04,0.51,-0.75,3.95,32.6,0.679
C,0.01,0.50,-0.73,3.95,32.6,0.684
0,-0.08,0.54,-0.80,3.94,32.6,0.637
1,-0.09,0.51,-0.73,3.95,32.6,0.571
2,-0.17,0.49,-0.69,3.95,32.6,0.497
3,-0.17,0.62,-0.62,3.95,32.6,0.431
4,-0.16,0.74,-0.60,3.95,32.6,0.387
5,0.07,0.91,-0.55,3.95,32.6,0.356
6,-0.07,0.82,-0.45,3.95,32.6,0.338
7,-0.10,0.89,-0.40,3.95,32.6,0.320
8,-0.14,0.83,-0.38,3.95,32.6,0.309
9,-0.21,0.90,-0.29,3.94,32.6,0.298
C,-0.19,0.92,-0.26,3.95,32.6,0.291
0,-0.12,0.90,-0.24,3.95,32.6,0.286
1,-0.19,0.91,-0.39,3.95,32.6,0.280
2,-0.11,0.81,-0.37,3.95,32.6,0.274
3,-0.12,0.85,-0.43,3.95,32.6,0.269
4,-0.13,0.82,-0.39,3.95,32.6,0.266
5,-0.13,0.90,-0.39,3.95,32.6,0.260
6,-0.12,0.82,-0.42,3.95,32.6,0.257
7,-0.18,0.88,-0.42,3.95,32.6,0.252
8,-0.16,0.83,-0.40,3.95,32.6,0.252
9,-0.19,0.85,-0.39,3.95,32.6,0.249
C,-0.18,0.86,-0.41,3.95,32.6,0.246
0,-0.17,0.85,-0.38,3.95,32.6,0.246
1,-0.19,0.85,-0.39,3.95,32.6,0.241
2,-0.17,0.87,-0.37,3.95,32.6,0.238
3,-0.15,0.86,-0.40,3.95,32.6,0.236
4,-0.18,0.85,-0.40,3.95,32.6,0.236
5,-0.20,0.85,-0.38,3.95,32.6,0.233
6,-0.17,0.85,-0.39,3.95,32.6,0.230
7,-0.16,0.84,-0.38,3.95,32.6,0.230
8,-0.19,0.84,-0.38,3.95,32.6,0.230
9,-0.18,0.85,-0.38,3.95,32.6,0.230
C,-0.18,0.87,-0.38,3.95,32.6,0.227
0,-0.18,0.85,-0.38,3.95,32.6,0.227
1,-0.18,0.85,-0.38,3.95,32.6,0.227
